ID,Question,Categorie,Reponse
1,Quelle est la culture d'entreprise chez ACTIA ?,Technologies utilisees,Nous utilisons principalement ACTIA pour nos developpements technologiques.
2,Quelles sont les competences recherchees pour un stage chez ACTIA ?,Remuneration,La culture d'entreprise chez ACTIA est basee sur l'innovation et l'excellence.
3,Quels sont les profils les plus demandes chez ACTIA ?,Experience requise,ACTIA recherche des talents motives ayant des competences en divers domaines.
"4,Quels types de stages proposez-vous chez ACTIA ?,Conditions de travail,""Chez ACTIA, nous travaillons sur des projets innovants lies a  divers domaines."""
"5,Quels sont les profils les plus demandes chez ACTIA ?,Formation et developpement,""Apres un stage reussi, une embauche est possible chez ACTIA selon les besoins."""
"6,Quel est l'environnement de travail chez ACTIA ?,Processus de recrutement,""Le processus de recrutement chez ACTIA comprend une selection sur CV, un entretien RH et un entretien technique."""
7,Quels sont les horaires de travail chez ACTIA ?,Opportunites post-stage,Travailler chez ACTIA offre des opportunites d'evolution et un bon equilibre vie professionnelle-personnelle.
8,Quels sont les horaires de travail chez ACTIA ?,Duree du stage,Travailler chez ACTIA offre des opportunites d'evolution et un bon equilibre vie professionnelle-personnelle.
9,Quels sont les avantages de travailler chez ACTIA ?,Technologies utilisees,ACTIA recherche des talents motives ayant des competences en technologies avancees.
"10,Quelles sont les competences recherchees pour un stage chez ACTIA ?,Opportunites post-stage,""Chez ACTIA, nous travaillons sur des projets innovants lies a  divers domaines."""
"11,Quelle est la culture d'entreprise chez ACTIA ?,Conditions de travail,""Chez ACTIA, nous travaillons sur des projets innovants lies a  divers domaines."""
"12,Quels sont les avantages de travailler chez ACTIA ?,Competences requises,""Apres un stage reussi, une embauche est possible chez ACTIA selon les besoins."""
13,Quels sont les criteres de recrutement chez ACTIA ?,Competences requises,L'environnement de travail chez ACTIA est collaboratif et dynamique.
14,Y a-t-il des opportunites de carriere apres un stage chez ACTIA ?,Duree du stage,L'environnement de travail chez ACTIA est collaboratif et dynamique.
15,Quelles sont les competences recherchees pour un stage chez ACTIA ?,Competences requises,ACTIA propose des formations internes pour aider les nouveaux arrivants a  s'adapter.
16,Quelle est la culture d'entreprise chez ACTIA ?,Culture d'entreprise,ACTIA propose des formations internes pour aider les nouveaux arrivants a  s'adapter.
"17,Est-il possible de faire du teletravail chez ACTIA ?,Opportunites post-stage,""Le teletravail est possible chez ACTIA, selon le poste et les besoins du projet."""
"18,Comment se deroule le processus de recrutement chez ACTIA ?,Formation et developpement,""Les stages chez ACTIA durent entre 3 et 6 mois, selon le besoin."""
19,Quels types de stages proposez-vous chez ACTIA ?,Duree du stage,Les horaires de travail chez ACTIA sont flexibles avec une base de 40h/semaine.
"20,Est-il possible de faire du teletravail chez ACTIA ?,Formation et developpement,""Le processus de recrutement chez ACTIA comprend une selection sur CV, un entretien RH et un entretien technique."""
"21,Y a-t-il des formations pour les nouveaux employes chez ACTIA ?,Mobilite interne,""Chez ACTIA, nous travaillons sur des projets innovants lies a  divers domaines."""
"22,Y a-t-il des formations pour les nouveaux employes chez ACTIA ?,Remuneration,""Chez ACTIA, nous travaillons sur des projets innovants lies a  divers domaines."""
"23,Y a-t-il des formations pour les nouveaux employes chez ACTIA ?,Formation et developpement,""Le teletravail est possible chez ACTIA, selon le poste et les besoins du projet."""
24,Quel est l'environnement de travail chez ACTIA ?,Encadrement,Les horaires de travail chez ACTIA sont flexibles avec une base de 40h/semaine.
"25,Comment se deroule le processus de recrutement chez ACTIA ?,Duree du stage,""Apres un stage reussi, une embauche est possible chez ACTIA selon les besoins."""
26,Quel est l'environnement de travail chez ACTIA ?,Mobilite interne,ACTIA propose des formations internes pour aider les nouveaux arrivants a  s'adapter.
"27,Quels types de stages proposez-vous chez ACTIA ?,Conditions de travail,""Le processus de recrutement chez ACTIA comprend une selection sur CV, un entretien RH et un entretien technique."""
28,Est-il possible de faire du teletravail chez ACTIA ?,Experience requise,Nous utilisons principalement ACTIA pour nos developpements technologiques.
"29,Comment se passe l'integration d'un stagiaire chez ACTIA ?,Mobilite interne,""Chez ACTIA, nous travaillons sur des projets innovants lies a  divers domaines."""
30,Comment se deroule le processus de recrutement chez ACTIA ?,Formation et developpement,ACTIA propose des formations internes pour aider les nouveaux arrivants a  s'adapter.
